class_id	parent_class_id	pref_name	class_level	protein_class_desc
331	249.0	CMGC protein kinase nmo subfamily	6	enzyme  kinase  protein kinase  cmgc  mapk  nmo
332	249.0	CMGC protein kinase p38 subfamily	6	enzyme  kinase  protein kinase  cmgc  mapk  p38
334	1629.0	Other protein kinase HRI	6	enzyme  kinase  protein kinase  other  pek  hri
335	1629.0	Other protein kinase PEK subfamily	6	enzyme  kinase  protein kinase  other  pek  pek
336	1629.0	Other protein kinase PKR	6	enzyme  kinase  protein kinase  other  pek  pkr
340	261.0	STE protein kinase ASK	6	enzyme  kinase  protein kinase  ste  ste11  ask
341	262.0	STE protein kinase KHS subfamily	6	enzyme  kinase  protein kinase  ste  ste20  khs
342	262.0	STE protein kinase MSN subfamily	6	enzyme  kinase  protein kinase  ste  ste20  msn
343	262.0	STE protein kinase MST subfamily	6	enzyme  kinase  protein kinase  ste  ste20  mst
344	262.0	STE protein kinase SLK subfamily	6	enzyme  kinase  protein kinase  ste  ste20  slk
345	262.0	STE protein kinase TAO subfamily	6	enzyme  kinase  protein kinase  ste  ste20  tao
346	262.0	STE protein kinase YSK subfamily	6	enzyme  kinase  protein kinase  ste  ste20  ysk
348	1678.0	TKL protein kinase LIMK subfamily	6	enzyme  kinase  protein kinase  tkl  lisk  limk
349	1623.0	TKL protein kinase HH498 subfamily	6	enzyme  kinase  protein kinase  tkl  mlk  hh498
352	1153.0	Nuclear hormone receptor subfamily 1 group A member 1	5	transcription factor  nuclear receptor  nr1  nr1a  nr1a1
353	1153.0	Nuclear hormone receptor subfamily 1 group A member 2	5	transcription factor  nuclear receptor  nr1  nr1a  nr1a2
354	1154.0	Nuclear hormone receptor subfamily 1 group B member 1	5	transcription factor  nuclear receptor  nr1  nr1b  nr1b1
355	1154.0	Nuclear hormone receptor subfamily 1 group B member 2	5	transcription factor  nuclear receptor  nr1  nr1b  nr1b2
356	1154.0	Nuclear hormone receptor subfamily 1 group B member 3	5	transcription factor  nuclear receptor  nr1  nr1b  nr1b3
357	1155.0	Nuclear hormone receptor subfamily 1 group C member 1	5	transcription factor  nuclear receptor  nr1  nr1c  nr1c1
358	1155.0	Nuclear hormone receptor subfamily 1 group C member 2	5	transcription factor  nuclear receptor  nr1  nr1c  nr1c2
359	1155.0	Nuclear hormone receptor subfamily 1 group C member 3	5	transcription factor  nuclear receptor  nr1  nr1c  nr1c3
360	1158.0	Nuclear hormone receptor subfamily 1 group H member 1	5	transcription factor  nuclear receptor  nr1  nr1h  nr1h1
361	1158.0	Nuclear hormone receptor subfamily 1 group H member 3	5	transcription factor  nuclear receptor  nr1  nr1h  nr1h3
362	1158.0	Nuclear hormone receptor subfamily 1 group H member 4	5	transcription factor  nuclear receptor  nr1  nr1h  nr1h4
